James Harden,HOU,2096
Trae Young,ATL,1778
Bradley Beal,WAS,1741
Giannis Antetokounmpo,MIL,1690
Damian Lillard,POR,1677
Devin Booker,PHX,1619
Luka Doncic,DAL,1549
LeBron James,LAL,1544
Zach LaVine,CHI,1530
Donovan Mitchell,UTA,1525
Anthony Davis,LAL,1467
Russell Westbrook,HOU,1456
CJ McCollum,POR,1395
Jayson Tatum,BOS,1390
Kawhi Leonard,LAC,1370
Brandon Ingram,NOP,1358
DeMar DeRozan,SAS,1352
Collin Sexton,CLE,1349
Spencer Dinwiddie,BKN,1318
Nikola Jokic,DEN,1313
Bojan Bogdanovic,UTA,1275
Buddy Hield,SAC,1268
Tobias Harris,PHI,1259
Pascal Siakam,TOR,1253
Julius Randle,NYK,1248
Shai Gilgeous-Alexander,OKC,1216
Dennis Schroder,OKC,1199
Andrew Wiggins,GSW,1175
Montrezl Harrell,LAC,1173
Khris Middleton,MIL,1159
Evan Fournier,ORL,1149
Domantas Sabonis,IND,1147
Devonte' Graham,CHA,1145
T.J. Warren,IND,1140
Terry Rozier,CHA,1134
Lou Williams,LAC,1119
Chris Paul,OKC,1114
Jimmy Butler,MIA,1093
Jrue Holiday,NOP,1076
Kemba Walker,BOS,1060
Danilo Gallinari,OKC,1057
Bam Adebayo,MIA,1053
Nikola Vucevic,ORL,1052
Kelly Oubre Jr.,PHX,1046
Ja Morant,MEM,1041
D'Angelo Russell,MIN,1039
Jamal Murray,DEN,1033
Joel Embiid,PHI,1031
Kyle Lowry,TOR,1026
Jaylen Brown,BOS,1022
Dillon Brooks,MEM,1020
Andre Drummond,CLE,1010
LaMarcus Aldridge,SAS,1001
Tim Hardaway Jr.,DAL,998
Hassan Whiteside,POR,993
Kevin Love,CLE,987
Kristaps Porzingis,DAL,981
Kendrick Nunn,MIA,970
Marcus Morris Sr.,LAC,955
Jordan Clarkson,UTA,952
Harrison Barnes,SAC,941
Rudy Gobert,UTA,934
Terrence Ross,ORL,930
Karl-Anthony Towns,MIN,926
Jonas Valanciunas,MEM,922
De'Aaron Fox,SAC,920
Jaren Jackson Jr.,MEM,914
Derrick Rose,DET,904
Ben Simmons,PHI,902
Alec Burks,PHI,891
John Collins,ATL,885
Paul George,LAC,880
Joe Harris,BKN,878
Will Barton,DEN,874
Goran Dragic,MIA,868
Eric Bledsoe,MIL,865
Duncan Robinson,MIA,863
Coby White,CHI,859
Fred VanVleet,TOR,845
Miles Bridges,CHA,843
Eric Paschall,GSW,837
Davis Bertans,WAS,834
Aaron Gordon,ORL,833
Christian Wood,DET,810
JJ Redick,NOP,805
RJ Barrett,NYK,803
Serge Ibaka,TOR,801
Robert Covington,HOU,794
Malcolm Brogdon,IND,784
De'Andre Hunter,ATL,778
Gordon Hayward,BOS,778
Taurean Prince,BKN,773
Markelle Fultz,ORL,772
Bogdan Bogdanovic,SAC,767
Carmelo Anthony,POR,763
Nemanja Bjelica,SAC,759
Ricky Rubio,PHX,744
Jerami Grant,DEN,742
Seth Curry,DAL,742
Lauri Markkanen,CHI,737
Patty Mills,SAS,735
Darius Garland,CLE,728
Al Horford,PHI,722
Norman Powell,TOR,721
Cedi Osman,CLE,718
Marcus Smart,BOS,714
P.J. Washington,CHA,710
Glenn Robinson III,PHI,708
Bryn Forbes,SAS,707
Lonzo Ball,NOP,695
Caris LeVert,BKN,692
Kevin Huerter,ATL,684
Tristan Thompson,CLE,684
Jarrett Allen,BKN,681
Langston Galloway,DET,677
OG Anunoby,TOR,675
Kyle Kuzma,LAL,674
Brook Lopez,MIL,670
Bobby Portis,NYK,668
Josh Richardson,PHI,663
Thaddeus Young,CHI,659
Myles Turner,IND,651
Tomas Satoransky,CHI,644
Doug McDermott,IND,643
Cody Zeller,CHA,642
Jeff Teague,ATL,641
Derrick White,SAS,633
Steven Adams,OKC,633
Ish Smith,WAS,627
Joe Ingles,UTA,624
Furkan Korkmaz,PHI,623
Damion Lee,GSW,621
Ben McLemore,HOU,619
Dejounte Murray,SAS,619
Malik Beasley,MIN,615
Cam Reddish,ATL,610
Tyler Herro,MIA,605
Maxi Kleber,DAL,604
Brandon Clarke,MEM,602
Jae Crowder,MIA,602
Kentavious Caldwell-Pope,LAL,601
Rudy Gay,SAS,601
Dorian Finney-Smith,DAL,597
Troy Brown Jr.,WAS,594
Danuel House Jr.,HOU,593
Mitchell Robinson,NYK,590
Dario Saric,PHX,586
Gary Harris,DEN,581
Jarrett Culver,MIN,580
Josh Hart,NOP,579
Jeremy Lamb,IND,577
Anfernee Simons,POR,572
Deandre Ayton,PHX,570
Mike Conley,UTA,567
Mikal Bridges,PHX,565
Garrett Temple,BKN,564
Larry Nance Jr.,CLE,564
Malik Monk,CHA,564
Kent Bazemore,SAC,557
Donte DiVincenzo,MIL,554
Monte Morris,DEN,549
Justin Holiday,IND,548
Kyrie Irving,BKN,548
Marquese Chriss,GSW,548
Rui Hachimura,WAS,548
Aaron Holiday,IND,546
Clint Capela,ATL,543
Daniel Theis,BOS,539
